ActivityIdentifier,ActivityStartDate,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,Measure,SampleAquifer
nwisco.01.00001966,2000-04-12,USGS-392110107011300,"Stable, normal stage",Snowmelt,8.3,
nwisco.01.98201934,1982-08-12,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98201888,1981-10-01,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.99803525,1998-08-19,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.00304229,2003-09-05,USGS-09085000,"Stable, low stage",Routine sample,8.4,
nwisco.01.00102115,2001-04-04,USGS-09085000,Rising stage,Snowmelt,8.4,
nwisco.01.00001579,2000-03-09,USGS-392110107011300,"Stable, normal stage",Routine sample,8.4,
nwisco.01.98201939,1982-09-16,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.00100287,2000-11-08,USGS-09085000,"Stable, low stage",Routine sample,8.4,
nwisco.01.99703574,1997-08-20,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.98301698,1983-04-13,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.98201892,1981-10-29,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98301673,1982-10-21,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98201891,1981-10-22,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.99901532,1999-04-20,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.00204206,2002-07-30,USGS-09085000,"Stable, low stage",Drought,8.5,
nwisco.01.99801433,1998-03-12,USGS-391531106525200,"Stable, low stage",Routine sample,8.5,
nwisco.01.00202579,2002-04-24,USGS-09081000,Rising stage,Snowmelt,8.5,
nwisco.01.98201940,1982-09-24,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98201905,1982-01-29,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.99501565,1995-04-04,USGS-391531106525200,"Stable, normal stage",Routine sample,8.5,
nwisco.01.98301676,1982-11-09,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98403264,1983-10-20,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.99900295,1998-10-20,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.98201907,1982-02-12,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.00001292,2000-02-16,USGS-392110107011300,"Stable, low stage",Routine sample,8.6,
nwisco.01.98201900,1981-12-24,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.98201901,1981-12-30,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.98201914,1982-04-01,USGS-09085000,Not determined,Routine sample,8.7,
